"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-5943,0.14567,59060.517,-293689.4887,0.572519084,20.79622839,0,2.099927804,0,87.05819806,0.031556187,0.000115852,0,0.000113202,0,0.001895457,3.968728032,0,0,0.046288724
-6421,0.1421,58988.982,-17806.55979,40.54054054,20.79622839,0,8.805012279,19.44594963,5.934494434,2.983597055,0.000115852,0,0.000276072,0.000412505,0.00138431,3.968728032,0.050591194,11.74820465,0.706520534
-5867,0.14231,58723.289,37052.31183,581.25,0,0,81.80216811,89.71915649,3.827248362,26.52159457,0,0,0.000135142,0.002996499,0.000459862,0,2.629240528,0.803961348,85.64641937
-6673,0.1417,59147.372,-79353.91141,4.827586207,0,0.974130349,0,12.51442401,22.1864969,0.225621571,0,8.66e-05,0,0.000579431,0.001165164,0,0,5.775674448,0.226475013
-5871,0.14385,58662.036,-62150.64702,50.26737968,27.36361595,0,89.00855481,87.48445295,32.31067233,4.345338147,0.000143328,0,0.000492706,0.002793802,0.002547992,3.016215938,1.836709373,0.863961197,1.933424002
-5385,0.14683,58591.264,-877493.094,22.33009709,20.79622839,81.92227832,49.29520171,95.06986695,94.53413471,1.610241001,0.000115852,0.001885681,0.000751248,0.00300071,0.001805579,3.968728032,5.82579474,0.757150834,0.251176752
-5799,0.14357,59037.315,-235280.0709,14.0625,30.68023647,9.141948386,48.05140503,19.44594963,55.93361003,1.34065916,0.00014153,0.000276953,0.000604818,0.000412505,0.00293459,2.408856334,4.475989318,11.74820465,0.736397323
-6350,0.14251,58918.358,-37516.85997,42.85714286,27.36361595,0,0,91.53026445,12.90876451,2.397093192,0.000143328,0,0,0.0029166,0.00196003,3.016215938,0,0.786234461,0.324805846
-5597,0.14632,58907.186,-498730.1747,5.626134301,27.36361595,26.40471134,10.7825321,19.48153587,92.7620713,0.422058906,0.000143328,0.000435812,0.000312593,0.000366944,0.001312142,3.016215938,17.43995264,6.461949884,0.055971643
-5918,0.1449,59065.31,-287609.4462,3.012048193,33.88460675,1.873319565,4.665087708,15.44155013,81.14319426,0.157057979,0.000103991,8.59e-05,0.000225809,0.000245191,0.00219633,2.906813185,0.074249453,14.34720896,0.071361254
-5960,0.14491,58966.802,-208394.3617,6.476683938,27.36361595,0,24.98644815,12.51442401,64.52186197,0.570694495,0.000143328,0,0.000727768,0.000579431,0.002828025,3.016215938,9.906303972,5.775674448,0.090284576
-6241,0.14346,59208.825,-194082.0013,2.064896755,30.68023647,0,0,8.523500956,56.50983749,0.052230051,0.00014153,0,0,0.000592671,0.003019287,2.408856334,0,6.776354395,0.073460513
-6683,0.14213,59035.676,-30279.12717,5.882352941,33.94896356,0,0,0,6.778948573,0,9.31e-05,0,0,0,0.001205137,2.431136798,0,0,0.075441288
-6321,0.14219,58923.818,-10307.23691,108.1081081,20.79622839,0,8.805012279,78.19328592,5.934494434,6.106299075,0.000115852,0,0.000276072,0.002077828,0.00138431,3.968728032,0.050591194,0.920337945,0.706520534
-6180,0.14499,59041.277,-226643.9927,0.987654321,43.10559006,0,0,0,65.11246214,0,0.000187798,0,0,0,0.002463083,1.914706989,0,0,0.062822494
-5591,0.1456,58945.822,-555525.5253,7.155963303,20.79622839,35.46636069,12.40830784,20.3239541,90.92977739,0.525880107,0.000115852,0.000988515,0.000635582,0.000407849,0.002119093,3.968728032,19.9481955,3.814902406,0.04588202
-5533,0.1452,58934.476,-334853.5145,9.109311741,27.36361595,9.141948386,48.05140503,19.44594963,85.83732794,0.877736688,0.000143328,0.000276953,0.000604818,0.000412505,0.002186474,3.016215938,4.475989318,11.74820465,0.065353745
-5674,0.14502,58988.544,-516234.653,10.28225806,30.68023647,33.57769802,35.31907935,6.080614414,85.02326691,0.837364997,0.00014153,0.000690408,0.000656024,0.000648232,0.002701995,2.408856334,7.008205059,7.130215108,0.051670874
-5755,0.1447,59070.603,-259702.186,9.051724138,30.68023647,0,0,91.53026445,79.2462538,0.398580346,0.00014153,0,0,0.0029166,0.002350464,2.408856334,0,0.786234461,0.30167915
-6607,0.14056,58991.115,104.44497,117.1428571,0,0,9.46925259,89.61843409,4.733042238,8.407273607,0,0,0.000179404,0.002945637,0.001155918,0,0,0.803007203,6.493023864
-6106,0.1437,58960.646,-104413.6191,9.661835749,27.36361595,0,17.78991059,17.94999396,32.5835748,0.897160483,0.000143328,0,0.00028858,0.000332958,0.002592311,3.016215938,18.27965489,7.013300878,0.102314852
-5704,0.14411,58679.924,-92668.14111,42.60869565,27.36361595,0,78.85317082,95.82356525,40.10828911,3.288543797,0.000143328,0,0.000128246,0.003066136,0.003080584,3.016215938,2.556062235,0.75119548,2.419769923
-5269,0.14573,58648.054,-315074.5002,24.83516484,20.79622839,11.25484299,86.92826952,99.40029817,83.87271309,1.826761151,0.000115852,0.000570795,0.000150954,0.003318682,0.002956933,3.968728032,2.318619859,0.724165122,0.69714901
-5893,0.14499,59008.247,-213953.2216,4.25,27.36361595,0,8.805012279,21.77877853,64.4077264,0.295178275,0.000143328,0,0.000276072,0.000510783,0.002712596,3.016215938,0.050591194,9.365841457,0.063509885
-5726,0.14442,58985.103,-267045.4257,11.28608924,27.36361595,9.141948386,42.58312992,19.44594963,64.91501749,1.049525122,0.000143328,0.000276953,0.000640708,0.000412505,0.002780022,3.016215938,5.050769543,11.74820465,0.2957407
-6818,0.14255,59076.013,-67517.59374,0,0,0,0,0,20.27205471,0,0,0,0,0,0.002715688,0,0,0,0.018046549
-6693,0.1416,59060.97,-7871.98099,166.6666667,37.24762404,0,4.107459602,0,0.403262964,11.60834048,0.000106524,0,0.000160359,0,0.0005292,1.984134126,0,0,6.541027917
-5684,0.14654,58862.051,-655645.0244,7.913669065,43.10559006,47.31123463,19.03251793,0,93.92733393,0.613449962,0.000187798,0.001347978,0.00065704,0,0.001801369,1.914706989,13.00528661,0,0.042903517
-5387,0.14684,58590.182,-877042.8352,22.417154,20.79622839,81.92227832,49.29520171,95.06986695,94.3989452,1.612509774,0.000115852,0.001885681,0.000751248,0.00300071,0.00180869,3.968728032,5.82579474,0.757150834,0.251536464
